Comment,Designator,Footprint,LCSC Part #
10k,R1 R2 R3 R4 R5 R6 R7 R10 R11 R12 R13 R14 R17 R18 R19 R20 R21 R22 R25 R26 R27 R28 R29 R30,R0805,
10u,C13 C14 C15 C16 C17 C18 C19 C20,CSV-C,
100n,C1 C2 C3 C4,C0805,
220,R8 R9 R15 R16 R23 R24 R31 R32,R0805,
470p,C5 C6 C7 C8 C9 C10 C11 C12,C0805,
MCP604-I_SL,IC1 IC2,SOIC127P600X175-14N,
