"Part;""Value"";""Device"";""Package"";""Description"";""BUILT_BY"";""CENTROID_NOT_SPECIFIED"";""CONTACT-RESISTANCE"";""DATASHEET"";""DATASHEET-URL"";""DESCRIPTION"";""DIGIKEY_DESCRIPTION"";""DIGIKEY_PART_NUMBER"";""GENDER"";""HEIGHT"";""IPC_LAND_PATTERN_NAME"";""IR"";""L"";""LEAD_FREE"";""MANUFACTURER_NAME"";""MANUFACTURER_PART_NUMBER"";""MATES"";""MF"";""MOUNT"";""MOUSER_PART_NUMBER"";""MOUSER_PRICE-STOCK"";""MPN"";""NUMBER_OF_ADCS_/_DACS"";""PACKAGE"";""PACKAGING"";""PART-NUMBER"";""PINS"";""PITCH"";""POPULARITY"";""PREFIX"";""RESOLUTION"";""ROHS"";""RS_PART_NUMBER"";""RS_PRICE-STOCK"";""SIGMA_DELTA"";""SPICEPREFIX"";""TEMPERATURE_RANGE_HIGH"";""TEMPERATURE_RANGE_LOW"";""TOL-R"";""TYPE"";""VENDOR"";""VOLTAGE"";""VOLTAGE_-_SUPPLY"";""WORKING-VOLTAGE"";",,,,,,
"AGND;"""";""CONN_01"";""1X01"";""Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,
"AGND_DGND;""JUMPER-SMT_2_NC_TRACE_NO-SILK"";""JUMPER-SMT_2_NC_TRACE_NO-SILK"";""SMT-JUMPER_2_NC_TRACE_NO-SILK"";""Normally closed trace jumper"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,
"AGND_DGND1;""JUMPER-SMT_2_NC_TRACE_NO-SILK"";""JUMPER-SMT_2_NC_TRACE_NO-SILK"";""SMT-JUMPER_2_NC_TRACE_NO-SILK"";""Normally closed trace jumper"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,
"AGND_DGND2;""JUMPER-SMT_2_NC_TRACE_NO-SILK"";""JUMPER-SMT_2_NC_TRACE_NO-SILK"";""SMT-JUMPER_2_NC_TRACE_NO-SILK"";""Normally closed trace jumper"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,
"C1;""100n"";""C_0805"";""C0805"";""NON-POLARIZED CAP"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,
"C2;""10u"";""C_0805"";""C0805"";""NON-POLARIZED CAP"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,
"C3;""100n"";""C_0805"";""C0805"";""NON-POLARIZED CAP"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,
"C4;""10u"";""C_0805"";""C0805"";""NON-POLARIZED CAP"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,
"C5;""1u"";""C_0805"";""C0805"";""NON-POLARIZED CAP"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,
"C6;""10u"";""C_0805"";""C0805"";""NON-POLARIZED CAP"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,
"C7;""100n"";""C_0805"";""C0805"";""NON-POLARIZED CAP"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,
