Comment,Designator,Footprint,LCSC Part #
1k,R5 R6 R7 R8 R9 R10 R11 R12,R0805,
1u,C1 C3,C0805,
2k2 opt,R3 R4,R0805,
100,R13,R0805,
100u 10V,C2,C1206,
BSS138BKVL,Q1 Q2,SOT95P230X110-3N,
JUMPER-SMT_3_1-NC_TRACE_SILK,ADR0 ADR1 ADR2,SMT-JUMPER_3_1-NC_TRACE_SILK,
MCP23008/SO,IC1,SO18W,
SN74LV1T34DBVR,IC2,SOT95P280X145-5N,
